impl,n_clients,n_inserts,server,total_time_ms,n_commits,commit_rate_tps,relative_commit_rate
KuaFu,32,64,Primary,61308,50781,828.2932080642005,1.00000000000000000000
KuaFu,32,64,KuaFu,62619,19542,312.0778038614478,.37677213916893405249
FDR+RO,32,256,Primary,61270,16560,270.279092541211,1.00000000000000000000
FDR+RO,32,256,FDR+RO,62095,16560,266.6881391416378,.98671390611160326141
KuaFu+RO,32,1,Primary,62195,234034,3762.9069860921295,1.00000000000000000000
KuaFu+RO,32,1,KuaFu+RO,62233,234034,3760.6093230279757,.99938939148040436178
KuaFu+RO,32,256,Primary,61196,16762,273.9067912935486,1.00000000000000000000
KuaFu+RO,32,256,KuaFu+RO,62264,4822,77.44443016831556,.28274008761366417934
FDR,32,4,Primary,61247,194241,3171.4369683413065,1.00000000000000000000
FDR,32,4,FDR,61390,194241,3164.049519465711,.99767063039582993502
FDR,32,32,Primary,62080,84113,1354.9130154639174,1.00000000000000000000
FDR,32,32,FDR,62273,84113,1350.7137924943395,.99690074350039356513
