impl,n_clients,n_inserts,server,total_time_ms,n_commits,commit_rate_tps,relative_commit_rate
FDR+RO,32,1,FDR+RO,61248,227993,3722.4562434691743,.99810606060606049499
FDR+RO,32,256,Primary,61127,16197,264.97292522126065,1.00000000000000000000
FDR+RO,32,256,FDR+RO,61590,16197,262.9810034096444,.99248254586783561674
KuaFu,32,8,Primary,62183,168421,2708.4733769679815,1.00000000000000000000
KuaFu,32,8,KuaFu,64777,128008,1976.1335041758648,.72961156678898596681
FDR,32,8,Primary,62112,167271,2693.054482225657,1.00000000000000000000
FDR,32,8,FDR,62077,167271,2694.5728691786007,1.00056381590605208966
KuaFu,32,4,Primary,61987,197692,3189.2493587365093,1.00000000000000000000
KuaFu,32,4,KuaFu,64883,192418,2965.615030131159,.92987869449821010001
KuaFu+RO,32,2,Primary,62147,218895,3522.2134616312937,1.00000000000000000000
KuaFu+RO,32,2,KuaFu+RO,62910,218895,3479.494515975203,.98787156254967418800
FDR+RO,32,1,Primary,61150,228406,3735.175797219951,1.00000000000000000000
FDR+RO,32,1,FDR+RO,61289,228406,3726.7046288893603,.99773205632332066015
KuaFu,32,8,Primary,61006,163779,2684.6375766318065,1.00000000000000000000
KuaFu,32,8,KuaFu,63439,123797,1951.433660681915,.72688905112108949067
FDR+RO,32,16,Primary,62255,125927,2022.7612239980724,1.00000000000000000000
FDR+RO,32,16,FDR+RO,62169,125927,2025.5593623831812,1.00138332609499907365
FDR+RO,32,64,Primary,62054,49606,799.4005221258903,1.00000000000000000000
FDR+RO,32,64,FDR+RO,62235,49606,797.0756005463164,.99709166867518286497
KuaFu+RO,32,4,Primary,61045,194214,3181.4890654435253,1.00000000000000000000
KuaFu+RO,32,4,KuaFu+RO,64282,187165,2911.623782707445,.91517642299409918054
KuaFu+RO,32,4,Primary,62096,198041,3189.2714506570474,1.00000000000000000000
KuaFu+RO,32,4,KuaFu+RO,64989,195191,3003.4467371401315,.94173443170582652666
FDR+RO,32,1,Primary,62251,232660,3737.4500008032,1.00000000000000000000
FDR+RO,32,1,FDR+RO,62746,232660,3707.9654479966853,.99211105090364331400
KuaFu,32,1,Primary,62106,232934,3750.587704891637,1.00000000000000000000
KuaFu,32,1,KuaFu,62316,232934,3737.9485204441876,.99663007895243591570
FDR,32,2,Primary,61155,213649,3493.565530210122,1.00000000000000000000
FDR,32,2,FDR,61240,213649,3488.716525146963,.99861201828870021095
KuaFu+RO,32,1,Primary,62128,233060,3751.2876641771827,1.00000000000000000000
KuaFu+RO,32,1,KuaFu+RO,62444,233060,3732.304144513484,.99493946576132209388
FDR+RO,32,32,Primary,61205,82485,1347.6840127440569,1.00000000000000000000
FDR+RO,32,32,FDR+RO,61389,82485,1343.6446268875532,.99700272035706723706
KuaFu,32,256,Primary,62102,17196,276.89929470870504,1.00000000000000000000
KuaFu,32,256,KuaFu,64461,5037,78.14027086145111,.28219743551045805547
FDR+RO,32,64,Primary,62063,50103,807.2925897877963,1.00000000000000000000
FDR+RO,32,64,FDR+RO,62083,50103,807.0325209799785,.99967785061933225314
KuaFu,32,16,Primary,62237,127287,2045.1981940003534,1.00000000000000000000
KuaFu,32,16,KuaFu,64401,73293,1138.0723901802767,.55646068606888279248
KuaFu,32,1,Primary,61166,231449,3783.948598894811,1.00000000000000000000
KuaFu,32,1,KuaFu,61407,231449,3769.0979855716773,.99607536600061872872
FDR+RO,32,2,Primary,62227,218322,3508.477027656805,1.00000000000000000000
FDR+RO,32,2,FDR+RO,62275,218322,3505.772782015255,.99922922521075873321
KuaFu,32,64,Primary,61173,50695,828.7152828862406,1.00000000000000000000
KuaFu,32,64,KuaFu,62360,19661,315.2822322001283,.38044698669254265573
FDR,32,128,Primary,62272,29972,481.3078108941418,1.00000000000000000000
FDR,32,128,FDR,62276,29972,481.27689639668574,.99993576979895956998
KuaFu+RO,32,64,Primary,61165,50791,830.3931987247609,1.00000000000000000000
KuaFu+RO,32,64,KuaFu+RO,65908,20529,311.4796382836681,.37509897571657496738
FDR+RO,32,128,Primary,61107,29479,482.4160898096781,1.00000000000000000000
FDR+RO,32,128,FDR+RO,61349,29479,480.5131297983667,.99605535542551627527
FDR+RO,32,4,Primary,61170,193701,3166.60127513487,1.00000000000000000000
FDR+RO,32,4,FDR+RO,61368,193701,3156.3844348846305,.99677356276886980334
FDR,32,64,Primary,61082,49452,809.6002095543695,1.00000000000000000000
FDR,32,64,FDR,61583,49452,803.0138187486806,.99186463796827045604
KuaFu,32,16,Primary,62136,126093,2029.3066821166474,1.00000000000000000000
KuaFu,32,16,KuaFu,64470,72467,1124.0421901659686,.55390454290208515423
FDR,32,2,Primary,62159,216975,3490.6449588957353,1.00000000000000000000
FDR,32,2,FDR,62283,216975,3483.695390395453,.99800908755198042417
KuaFu,32,128,Primary,62101,30670,493.87288449461363,1.00000000000000000000
KuaFu,32,128,KuaFu,63725,9493,148.96822283248332,.30163272272970480412
FDR,32,4,Primary,61270,193728,3161.8736739023993,1.00000000000000000000
FDR,32,4,FDR,61253,193728,3162.7512121855257,1.00027753742673828525
FDR,32,8,Primary,61209,162957,2662.304563054453,1.00000000000000000000
FDR,32,8,FDR,61593,162957,2645.7064926209146,.99376552530319991261
KuaFu+RO,32,2,Primary,62102,217632,3504.428198769766,1.00000000000000000000
KuaFu+RO,32,2,KuaFu+RO,62418,217632,3486.686532730943,.99493735781345121165
KuaFu,32,8,Primary,61158,163687,2676.4609699466955,1.00000000000000000000
KuaFu,32,8,KuaFu,63885,124670,1951.4753071926118,.72912526246608313423
